"<p>Complete this application accurately. The Dar Quraan administration will review your Quran background, preferred program, and availability.</p>",<p>أكمل هذا الطلب بدقة. ستراجع إدارة دار القرآن خلفيتك القرآنية والبرنامج المفضل ومدى توفرك.</p>
"<span class=""h4""><b>Dar Quraan Operations</b></span>","<span class=""h4""><b>عمليات دار القرآن</b></span>"
"<span class=""h4""><b>Modules and Reports</b></span>","<span class=""h4""><b>الوحدات والتقارير</b></span>"
A Cancelled assignment cannot be current.,لا يمكن اعتماد إسناد ملغى بوصفه الإسناد الحالي.
A Graduated student must have Quran Status Hafiz or Mujaz.,يشترط لتخريج الطالب أن تكون حالته القرآنية حافظاً أو مجازاً.
"A Halaqa named {0} already exists in this Branch, Academic Year and Academic Term.",الحلقة المسماة {0} بالفعل موجود في هذا الفرع، العام الدراسي و الفصل الدراسي.
A Quran State already exists for Student Assignment {0}.,حالة القرآن بالفعل موجود لـ إسناد الطالب {0}.
A disabled Academic Term cannot be current.,معطّل الفصل الدراسي لا يمكن أن يكون حالياً.
A disabled Academic Year cannot be marked as current.,معطّل العام الدراسي لا يمكن أن يكون محدد كـ حالياً.
A student with the same name and Date of Birth already exists: {0}.,الطالب مع الـ نفس الاسم و تاريخ الميلاد بالفعل موجود: {0}.
A term cannot be linked to a disabled Academic Year.,الفصل لا يمكن أن يكون مرتبط إلى معطّل العام الدراسي.
A term cannot be linked to an archived Academic Year.,الفصل لا يمكن أن يكون مرتبط إلى مؤرشف العام الدراسي.
A+,A+
A-,A-
AB+,AB+
AB-,AB-
Absent,غائب
Absent Count,عدد الغائبين
Academic Context,السياق الدراسي
Academic Period,الفترة الدراسية
Academic Term,الفصل الدراسي
Academic Term does not exist.,الفصل الدراسي المحدد غير موجود.
Academic Term must be Open.,الفصل الدراسي يجب أن يكون مفتوح.
Academic Term must belong to the selected Academic Year.,الفصل الدراسي يجب يتبع إلى الـ المحدد العام الدراسي.
"Academic Term {0} belongs to Academic Year {1}, not the selected Academic Year {2}.",الفصل الدراسي {0} يتبع إلى العام الدراسي {1}، لا الـ المحدد العام الدراسي {2}.
Academic Term {0} cannot be used because its status is {1}.,الفصل الدراسي {0} لا يمكن أن يكون مستخدم لأن الخاصة به الحالة هو {1}.
Academic Term {0} does not exist.,الفصل الدراسي {0} لا موجوداً.
Academic Term {0} is already marked as current.,الفصل الدراسي {0} هو بالفعل محدد كـ حالياً.
Academic Year,العام الدراسي
Academic Year Name,اسم العام الدراسي
Academic Year does not exist.,العام الدراسي المحدد غير موجود.
Academic Year is required.,العام الدراسي حقل إلزامي.
Academic Year must be Open.,العام الدراسي يجب أن يكون مفتوح.
Academic Year {0} already exists.,العام الدراسي {0} بالفعل موجود.
Academic Year {0} cannot be used because its status is {1}.,العام الدراسي {0} لا يمكن أن يكون مستخدم لأن الخاصة به الحالة هو {1}.
Academic Year {0} does not exist.,العام الدراسي {0} لا موجوداً.
Academic Year {0} is already marked as current. Unset it before selecting another current year.,العام الدراسي {0} هو بالفعل محدد كـ حالياً. ألغِ تعيينه إياه قبل اختيار آخر حالياً العام.
Acknowledged,قيد المعالجة
Acknowledged by Student,أقرّ بها الطالب
Action Required,الإجراء المطلوب
Action Taken,الإجراء المتخذ
Actions,الإجراءات
Active,نشط
Active Assignments,الإسنادات النشطة
Active Halaqas,الحلقات النشطة
Active Student Assignment {0} does not have a teacher.,نشط إسناد الطالب {0} لا لديه المعلم.
Active Student {0} does not have an active current assignment.,نشط الطالب {0} لا لديه نشط حالياً الإسناد.
Add the Qiraat method details in Notes when Qiraat Method is Other.,أضف الـ القراءات الطريقة التفاصيل في الملاحظات عندما طريقة القراءات هو أخرى.
Additional Information,معلومات إضافية
Additional Notes,ملاحظات إضافية
Address,عنوان السكن
Address Line,سطر العنوان
Address and contact,العنوان وبيانات الاتصال
Administration,الإدارة
Administrative Review,المراجعة الإدارية
Admission Application,طلب القبول
Admission Goal,الهدف من الالتحاق
Admission status cannot change from {0} to {1}.,القبول الحالة لا يمكن تتغير من {0} إلى {1}.
Adults,بالغون
Al-Jazariyyah Introduction,الجزرية المقدمة
Allow Attendance Entry,السماح بإدخال الحضور
Allow Halaqas,السماح بالحلقات
Allow New Enrollment,السماح بتسجيل جديد
Allow New Enrollments,السماح بالتسجيلات الجديدة
Allow Progress Entry,السماح بإدخال التقدم
An active Teacher must belong to an active Branch.,نشط المعلم يجب يتبع إلى نشط الفرع.
Applicant,مقدم الطلب
Applicant Name,اسم مقدم الطلب
Application,الطلب
Application Date,تاريخ التقديم
Arabic Name,الاسم بالعربية
Archived,أرشفة
Area,منطقة
Assigned,مُسنَد
Assigned Reviewer,المراجع المكلّف
Assignment Context,سياق الإسناد
Assignment Date,تاريخ الإسناد
Assignment Date is required.,تاريخ الإسناد حقل إلزامي.
Assignment Details,تفاصيل الإسناد
Assignment End Date cannot be earlier than Academic Term start date {0}.,الإسناد تاريخ الانتهاء لا يمكن أن يكون أسبق من الفصل الدراسي البداية التاريخ {0}.
Assignment End Date cannot be earlier than Academic Year start date {0}.,الإسناد تاريخ الانتهاء لا يمكن أن يكون أسبق من العام الدراسي البداية التاريخ {0}.
Assignment End Date cannot be later than Academic Term end date {0}.,الإسناد تاريخ الانتهاء لا يمكن أن يكون أبعد من الفصل الدراسي النهاية التاريخ {0}.
Assignment End Date cannot be later than Academic Year end date {0}.,الإسناد تاريخ الانتهاء لا يمكن أن يكون أبعد من العام الدراسي النهاية التاريخ {0}.
Assignment Notes,ملاحظات الإسناد
